DRG Id,Provider Id,Total Discharges,Average Total Payments,Average Medicare Payments,Average Medicare Payments
343,100007,21,8363.57142857143,4521.95238095238,4521.95238095238
345,10033,17,17185.6470588235,12642.8823529412,12642.8823529412
346,100007,11,8396.63636363636,6249.81818181818,6249.81818181818
347,330101,11,35826.0909090909,26338.2727272727,26338.2727272727
348,50625,13,13156.3076923077,10891.0,10891.0
349,100007,11,8139.63636363636,4341.81818181818,4341.81818181818
351,100007,20,9896.9,7751.45,7751.45
352,50625,11,8721.63636363636,7124.63636363636,7124.63636363636
353,100007,15,27103.0,25175.4666666667,25175.4666666667
354,10033,18,13972.8888888889,9532.11111111111,9532.11111111111
355,30103,14,11135.5714285714,5172.42857142857,5172.42857142857
356,10033,16,30727.625,29716.375,29716.375
357,30103,12,19025.0,12900.9166666667,12900.9166666667
358,490009,11,15280.5454545455,11442.7272727273,11442.7272727273
368,150056,16,18882.8125,14729.9375,14729.9375
369,100007,17,7333.94117647059,6303.35294117647,6303.35294117647
371,10033,27,17855.037037037,11488.0,11488.0
372,10033,30,9767.06666666667,7065.3,7065.3
373,50625,11,8311.81818181818,6113.09090909091,6113.09090909091
374,10033,22,14447.5909090909,13018.3181818182,13018.3181818182
375,10033,37,9721.0,8401.89189189189,8401.89189189189
376,100007,16,6580.875,4112.6875,4112.6875
377,10033,90,14910.7777777778,11598.4666666667,11598.4666666667
378,10033,108,8877.10185185185,6723.52777777778,6723.52777777778
379,50262,12,10701.0,8521.75,8521.75
381,70022,13,12419.1538461538,10676.0769230769,10676.0769230769
383,100007,13,10554.8461538462,7037.46153846154,7037.46153846154
384,50625,11,9587.63636363636,7425.36363636364,7425.36363636364
385,150056,11,21043.0,17414.5454545455,17414.5454545455
386,30103,17,8978.58823529412,5540.94117647059,5540.94117647059
387,100007,18,5334.27777777778,4256.94444444444,4256.94444444444
388,10033,14,18127.3571428571,11992.9285714286,11992.9285714286
389,10033,45,7808.6,6195.28888888889,6195.28888888889
390,10033,24,6059.79166666667,4418.29166666667,4418.29166666667
391,10033,52,10325.1538461538,8700.86538461538,8700.86538461538
392,10033,160,7210.1125,5303.63125,5303.63125
393,10033,31,15433.7096774194,10416.7741935484,10416.7741935484
394,10033,54,8537.77777777778,7335.44444444444,7335.44444444444
395,50625,20,8483.55,5608.35,5608.35
405,10033,28,46323.5,35114.7857142857,35114.7857142857
406,10033,64,19382.546875,17925.640625,17925.640625
407,10033,29,15797.4137931034,10697.6551724138,10697.6551724138
408,150056,11,34397.1818181818,30973.1818181818,30973.1818181818
414,100007,13,27563.4615384615,22531.7692307692,22531.7692307692
415,100007,14,13603.2142857143,11932.3571428571,11932.3571428571
416,220071,16,13857.4375,11018.9375,11018.9375
417,50454,11,34565.0,30618.9090909091,30618.9090909091
418,30103,22,13725.4090909091,9558.45454545454,9558.45454545454
419,50108,13,13023.3846153846,11616.7692307692,11616.7692307692
423,330101,16,63875.8125,45508.125,45508.125
432,10033,50,14521.52,12488.54,12488.54
433,10033,13,7633.23076923077,7027.07692307692,7027.07692307692
435,10033,32,13278.84375,12462.375,12462.375
436,10033,22,9953.59090909091,6977.31818181818,6977.31818181818
437,100007,12,8529.91666666667,4891.83333333333,4891.83333333333
438,10033,19,22910.2631578947,15965.0526315789,15965.0526315789
439,10033,33,7873.63636363636,6468.0,6468.0
440,50454,34,11032.0588235294,8462.26470588235,8462.26470588235
441,10033,58,14399.275862069,12884.0344827586,12884.0344827586
442,10033,41,8339.14634146341,6200.19512195122,6200.19512195122
443,100007,17,5093.29411764706,3734.94117647059,3734.94117647059
444,10033,12,17082.8333333333,10162.9166666667,10162.9166666667
445,10033,15,9485.8,6840.06666666667,6840.06666666667
446,50454,11,10583.1818181818,8766.18181818182,8766.18181818182
453,50441,17,139392.235294118,134786.117647059,134786.117647059
454,10033,11,68294.6363636364,43733.1818181818,43733.1818181818
